lon,lat,co,nh3,no2,bc,pm25,pm10,so2,oc,voc
79.69258357,15.18771718,0,0,0,0,0,0,0,0,0
80.00842647,15.25556337,0,0,0,0,0,0,0,0,0
80.32468211,15.32251963,0,0,0,0,0,0,0,0,0
80.64134571,15.38858324,0,0,0,0,0,0,0,0,0
80.95841241,15.45375148,0,0,0,0,0,0,0,0,0
81.27587735,15.51802169,0,0,0,0,0,0,0,0,0
81.59373559,15.58139123,0,0,0,0,0,0,0,0,0
81.91198219,15.64385751,0,0,0,0,0,0,0,0,0
82.23061214,15.70541797,0,0,0,0,0,0,0,0,0
82.54962039,15.76607007,0,0,0,0,0,0,0,0,0
82.86900188,15.82581134,0,0,0,0,0,0,0,0,0
83.18875148,15.88463931,0,0,0,0,0,0,0,0,0
83.50886403,15.94255157,0,0,0,0,0,0,0,0,0
83.82933434,15.99954574,0,0,0,0,0,0,0,0,0
84.15015718,16.05561948,0,0,0,0,0,0,0,0,0
84.47132728,16.11077048,0,0,0,0,0,0,0,0,0
84.79283934,16.16499647,0,0,0,0,0,0,0,0,0
85.114688,16.21829522,0,0,0,0,0,0,0,0,0
85.43686789,16.27066454,0,0,0,0,0,0,0,0,0
85.75937361,16.32210226,0,0,0,0,0,0,0,0,0
86.08219969,16.37260627,0,0,0,0,0,0,0,0,0
86.40534065,16.42217449,0,0,0,0,0,0,0,0,0
86.72879099,16.47080488,0,0,0,0,0,0,0,0,0
87.05254514,16.51849542,0,0,0,0,0,0,0,0,0
87.37659752,16.56524415,0,0,0,0,0,0,0,0,0
87.70094253,16.61104915,0,0,0,0,0,0,0,0,0
88.0255745,16.65590851,0,0,0,0,0,0,0,0,0
88.35048777,16.69982039,0,0,0,0,0,0,0,0,0
88.67567661,16.74278298,0,0,0,0,0,0,0,0,0
89.00113529,16.7847945,0,0,0,0,0,0,0,0,0
89.32685805,16.82585321,0,0,0,0,0,0,0,0,0
89.65283907,16.86595741,0,0,0,0,0,0,0,0,0
89.97907253,16.90510546,0,0,0,0,0,0,0,0,0
90.30555258,16.94329572,0,0,0,0,0,0,0,0,0
90.63227333,16.98052662,0,0,0,0,0,0,0,0,0
90.95922888,17.01679663,0,0,0,0,0,0,0,0,0
91.28641327,17.05210423,0,0,0,0,0,0,0,0,0
91.61382056,17.08644796,0,0,0,0,0,0,0,0,0
91.94144475,17.11982641,0,0,0,0,0,0,0,0,0
92.26927984,17.1522382,0,0,0,0,0,0,0,0,0
92.59731978,17.18368197,0,0,0,0,0,0,0,0,0
92.92555852,17.21415643,0,0,0,0,0,0,0,0,0
93.25398998,17.24366032,0,0,0,0,0,0,0,0,0
93.58260805,17.2721924,0,0,0,0,0,0,0,0,0
93.9114066,17.29975151,0,0,0,0,0,0,0,0,0
94.24037951,17.32633649,0,0,0,0,0,0,0,0,0
94.56952059,17.35194625,0,0,0,0,0,0,0,0,0
94.89882367,17.37657972,0,0,0,0,0,0,0,0,0
95.22828254,17.40023589,0,0,0,0,0,0,0,0,0
95.55789098,17.42291376,0,0,0,0,0,0,0,0,0
95.88764276,17.4446124,0,0,0,0,0,0,0,0,0
96.21753162,17.46533091,0,0,0,0,0,0,0,0,0
96.54755129,17.48506843,0,0,0,0,0,0,0,0,0
96.87769549,17.50382414,0,0,0,0,0,0,0,0,0
97.20795792,17.52159727,0,0,0,0,0,0,0,0,0
97.53833226,17.53838706,0,0,0,0,0,0,0,0,0
97.86881219,17.55419284,0,0,0,0,0,0,0,0,0
98.19939137,17.56901393,0,0,0,0,0,0,0,0,0
98.53006346,17.58284973,0,0,0,0,0,0,0,0,0
98.86082208,17.59569966,0,0,0,0,0,0,0,0,0
99.19166088,17.60756319,0,0,0,0,0,0,0,0,0
99.52257347,17.61843982,0,0,0,0,0,0,0,0,0
99.85355347,17.62832911,0,0,0,0,0,0,0,0,0
100.1845945,17.63723064,0,0,0,0,0,0,0,0,0
100.5156901,17.64514404,0,0,0,0,0,0,0,0,0
100.8468339,17.65206899,0,0,0,0,0,0,0,0,0
101.1780195,17.65800519,0,0,0,0,0,0,0,0,0
101.5092404,17.6629524,0,0,0,0,0,0,0,0,0
101.8404903,17.66691042,0,0,0,0,0,0,0,0,0
102.1717627,17.66987907,0,0,0,0,0,0,0,0,0
102.5030512,17.67185825,0,0,0,0,0,0,0,0,0
102.8343493,17.67284785,0,0,0,0,0,0,0,0,0
103.1656507,17.67284785,0,0,0,0,0,0,0,0,0
103.4969488,17.67185825,0,0,0,0,0,0,0,0,0
103.8282373,17.66987907,0,0,0,0,0,0,0,0,0
104.1595097,17.66691042,0,0,0,0,0,0,0,0,0
104.4907596,17.6629524,0,0,0,0,0,0,0,0,0
104.8219805,17.65800519,0,0,0,0,0,0,0,0,0
105.1531661,17.65206899,0,0,0,0,0,0,0,0,0
105.4843099,17.64514404,0,0,0,0,0,0,0,0,0
105.8154055,17.63723064,0,0,0,0,0,0,0,0,0
106.1464465,17.62832911,0,0,0,0,0,0,0,0,0
106.4774265,17.61843982,0,0,0,0,0,0,0,0,0
106.8083391,17.60756319,0,0,0,0,0,0,0,0,0
107.1391779,17.59569966,0,0,0,0,0,0,0,0,0
107.4699365,17.58284973,0,0,0,0,0,0,0,0,0
107.8006086,17.56901393,0,0,0,0,0,0,0,0,0
108.1311878,17.55419284,0,0,0,0,0,0,0,0,0
108.4616677,17.53838706,0,0,0,0,0,0,0,0,0
108.7920421,17.52159727,0,0,0,0,0,0,0,0,0
109.1223045,17.50382414,0,0,0,0,0,0,0,0,0
109.4524487,17.48506843,0,0,0,0,0,0,0,0,0
109.7824684,17.46533091,0,0,0,0,0,0,0,0,0
110.1123572,17.4446124,0,0,0,0,0,0,0,0,0
110.442109,17.42291376,0,0,0,0,0,0,0,0,0
110.7717175,17.40023589,0,0,0,0,0,0,0,0,0
111.1011763,17.37657972,0,0,0,0,0,0,0,0,0
111.4304794,17.35194625,0,0,0,0,0,0,0,0,0
111.7596205,17.32633649,0,0,0,0,0,0,0,0,0
112.0885934,17.29975151,0,0,0,0,0,0,0,0,0
112.417392,17.2721924,0,0,0,0,0,0,0,0,0
112.74601,17.24366032,0,0,0,0,0,0,0,0,0
113.0744415,17.21415643,0,0,0,0,0,0,0,0,0
